filename,class,left,right,top,bottom,score
1.jpg,truck,1636,1915,540,693,0.67525774
1.jpg,traffic light,1269,1285,451,480,0.5171191
1.jpg,truck,1190,1321,550,600,0.46727264
1.jpg,car,1190,1321,550,600,0.46669227
1.jpg,car,1636,1915,540,693,0.40699172
1.jpg,person,1764,1793,556,593,0.30482596
1.jpg,traffic light,1362,1375,452,484,0.2953225
1.jpg,car,1872,1916,529,588,0.2736898
1.jpg,car,1304,1329,554,572,0.23966713
1.jpg,traffic light,1803,1820,479,522,0.22354738
1.jpg,traffic light,1231,1244,468,483,0.20921594
1.jpg,truck,1872,1916,529,588,0.19496383
1.jpg,person,1803,1834,547,586,0.17777811
1.jpg,truck,1548,1822,453,582,0.17761296
1.jpg,bench,1190,1321,550,600,0.14392635
1.jpg,car,1546,1570,556,580,0.14332601
1.jpg,car,1823,1911,534,586,0.13655446
1.jpg,person,1884,1907,496,529,0.1355241
1.jpg,truck,1182,1324,471,600,0.12725101
1.jpg,traffic light,1202,1222,363,408,0.08868171
1.jpg,person,1829,1846,474,527,0.0871217
1.jpg,truck,1823,1911,534,586,0.08536144
1.jpg,traffic light,1167,1188,394,437,0.08430447
1.jpg,bus,1872,1916,529,588,0.057237048
1.jpg,person,1421,1436,552,581,0.052752584
1.jpg,fire hydrant,872,934,573,667,0.049619514
1.jpg,stop sign,1167,1188,394,437,0.049267992
1.jpg,car,1884,1907,496,529,0.04531451
1.jpg,traffic light,900,923,418,503,0.044865083
1.jpg,train,1182,1324,471,600,0.044815972
1.jpg,truck,1547,1574,554,581,0.043945067
1.jpg,person,1804,1820,474,510,0.04374646
1.jpg,person,1862,1910,534,588,0.04107836
1.jpg,car,1861,1883,508,533,0.0408721
1.jpg,stop sign,1764,1793,556,593,0.04039919
1.jpg,person,1269,1285,451,480,0.03946229
1.jpg,stop sign,1107,1135,408,446,0.038444053
1.jpg,umbrella,1170,1178,509,525,0.03840033
1.jpg,car,1680,1753,558,586,0.037137482
1.jpg,person,1166,1179,532,563,0.037001804
1.jpg,traffic light,1107,1135,408,446,0.036847353
1.jpg,truck,1304,1329,554,572,0.03523104
1.jpg,stop sign,1170,1178,509,525,0.035053387
1.jpg,stop sign,1365,1381,531,567,0.035009332
1.jpg,fire hydrant,1170,1179,551,563,0.034814317
1.jpg,bench,1304,1329,554,572,0.034628227
1.jpg,car,1233,1278,482,515,0.034241274
1.jpg,bottle,1764,1793,556,593,0.034117762
1.jpg,car,1895,1919,662,696,0.033134446
1.jpg,clock,1231,1244,468,483,0.03261584
1.jpg,traffic light,1049,1064,442,481,0.03249128
1.jpg,person,0,24,613,872,0.031088335
1.jpg,fire hydrant,1764,1793,556,593,0.030703023
1.jpg,fire hydrant,1421,1436,552,581,0.029813632
1.jpg,wine glass,1168,1188,403,440,0.029623108
1.jpg,boat,1187,1323,491,604,0.028991342
1.jpg,potted plant,1167,1188,394,437,0.028582996
1.jpg,stop sign,1231,1244,468,483,0.02827325
1.jpg,truck,1233,1278,482,515,0.02810499
1.jpg,train,1190,1321,550,600,0.0279658
1.jpg,vase,1168,1188,403,440,0.026548203
1.jpg,bird,1873,1916,331,394,0.026204672
1.jpg,fire hydrant,1803,1834,547,586,0.025610778
1.jpg,person,958,966,494,512,0.025200827
1.jpg,stop sign,1804,1820,474,510,0.025066342
1.jpg,stop sign,1829,1846,474,527,0.025008865
1.jpg,boat,1190,1321,550,600,0.024306964
1.jpg,stop sign,1269,1285,451,480,0.023984512
1.jpg,person,79,121,594,861,0.023609681
1.jpg,car,1455,1472,564,582,0.023524772
1.jpg,traffic light,1803,1834,547,586,0.023410348
1.jpg,traffic light,1157,1193,483,515,0.023258058
1.jpg,person,1190,1322,538,596,0.023209738
1.jpg,bench,1188,1226,554,594,0.023063898
1.jpg,potted plant,1343,1374,390,442,0.022623178
1.jpg,cow,1304,1329,554,572,0.02228493
1.jpg,motorcycle,1190,1321,550,600,0.02223781
1.jpg,bottle,1231,1244,468,483,0.0222319
1.jpg,truck,1680,1753,558,586,0.022214657
1.jpg,apple,1764,1793,556,593,0.022178179
1.jpg,car,1806,1827,471,511,0.022114784
1.jpg,traffic light,1147,1155,487,514,0.021880787
1.jpg,hot dog,1764,1793,556,593,0.021533819
1.jpg,clock,1167,1188,394,437,0.021443784
1.jpg,fire hydrant,1022,1058,552,635,0.021273741
1.jpg,train,1548,1822,453,582,0.021021666
1.jpg,parking meter,880,930,530,584,0.020867817
1.jpg,traffic light,1764,1793,556,593,0.020571101
1.jpg,parking meter,1421,1436,552,581,0.020236498
1.jpg,traffic light,1861,1883,508,533,0.020183071
1.jpg,stop sign,1049,1064,442,481,0.020040398
1.jpg,orange,1764,1793,556,593,0.01981595
1.jpg,parking meter,1764,1793,556,593,0.019399708
1.jpg,traffic light,1284,1315,338,377,0.019186813
1.jpg,bus,1548,1822,453,582,0.019183157
1.jpg,parking meter,1829,1846,474,527,0.018935742
1.jpg,truck,1269,1285,451,480,0.018690249
1.jpg,bus,1635,1916,537,688,0.018643433
1.jpg,car,1158,1172,537,561,0.01825098
1.jpg,clock,1208,1226,388,429,0.018033946
10.jpg,person,812,830,598,642,0.7412466
10.jpg,person,735,744,597,625,0.6300035
10.jpg,kite,347,391,602,634,0.5831342
10.jpg,kite,293,310,316,327,0.5760966
10.jpg,kite,1590,1599,524,535,0.5526584
10.jpg,kite,791,800,498,508,0.55158603
10.jpg,person,1170,1194,608,669,0.54706985
10.jpg,kite,1702,1715,201,211,0.53687286
10.jpg,kite,0,177,646,684,0.48865607
10.jpg,kite,873,969,573,629,0.48737556
10.jpg,kite,1680,1692,125,133,0.46964994
10.jpg,kite,1038,1049,179,188,0.46672386
10.jpg,kite,1739,1749,568,575,0.43150163
10.jpg,kite,1886,1897,563,571,0.40295267
10.jpg,kite,1710,1720,542,550,0.37957337
10.jpg,kite,331,343,514,520,0.3670059
10.jpg,kite,47,91,595,622,0.34506616
10.jpg,kite,1083,1338,706,741,0.3419038
10.jpg,kite,1229,1332,715,740,0.33485684
10.jpg,kite,1631,1641,512,519,0.33182302
10.jpg,kite,1758,1769,343,351,0.31931743
10.jpg,person,310,321,621,634,0.314266
10.jpg,person,47,91,595,622,0.3098078
10.jpg,person,2,19,584,623,0.3056322
10.jpg,person,23,42,578,603,0.27713886
10.jpg,kite,1497,1506,385,391,0.2592671
10.jpg,umbrella,288,346,588,607,0.22290017
10.jpg,kite,5,34,584,622,0.20551378
10.jpg,kite,290,345,591,613,0.1969093
10.jpg,bird,1038,1049,179,188,0.1912638
10.jpg,person,697,705,597,614,0.18952397
10.jpg,person,347,391,602,634,0.18511859
10.jpg,person,768,775,601,614,0.17382318
10.jpg,kite,1,43,640,669,0.16669528
10.jpg,kite,225,233,567,577,0.16626814
10.jpg,person,1819,1833,687,702,0.15737338
10.jpg,kite,0,21,541,558,0.1531551
10.jpg,kite,1631,1642,567,577,0.1489765
10.jpg,person,1246,1255,631,645,0.14187595
10.jpg,person,1289,1299,629,643,0.13892655
10.jpg,person,1143,1155,629,644,0.13841808
10.jpg,person,1383,1392,603,616,0.13818
10.jpg,bird,293,310,316,327,0.13579597
10.jpg,person,93,127,597,616,0.13424791
10.jpg,person,225,233,567,577,0.12859997
10.jpg,kite,1173,1192,610,640,0.120976925
10.jpg,umbrella,872,967,571,624,0.11921179
10.jpg,person,588,598,608,618,0.11900221
10.jpg,car,19,115,586,604,0.11686099
10.jpg,bird,1702,1715,201,211,0.112713926
10.jpg,kite,1092,1236,708,736,0.11209983
10.jpg,umbrella,19,115,586,604,0.10887159
10.jpg,umbrella,0,21,541,558,0.10634371
10.jpg,kite,15,1889,184,671,0.102430634
10.jpg,person,856,868,598,615,0.10112683
10.jpg,bird,1886,1897,563,571,0.100884974
10.jpg,car,66,127,594,617,0.100822344
10.jpg,airplane,1038,1049,179,188,0.10022658
10.jpg,kite,806,828,580,607,0.09166836
10.jpg,kite,4,98,648,681,0.08734208
10.jpg,kite,733,745,587,602,0.08530746
10.jpg,person,1460,1471,622,631,0.084143475
10.jpg,kite,1449,1463,495,505,0.08231725
10.jpg,person,1515,1526,628,637,0.07924067
10.jpg,kite,1738,1752,603,613,0.07738968
10.jpg,person,1861,1873,630,645,0.07651899
10.jpg,person,1817,1828,634,645,0.074967965
10.jpg,surfboard,1171,1188,654,668,0.07463417
10.jpg,person,1738,1752,603,613,0.074196085
10.jpg,bicycle,93,127,597,616,0.07320983
10.jpg,person,1785,1794,638,648,0.07230431
10.jpg,kite,900,997,674,686,0.07195526
10.jpg,bird,1739,1749,568,575,0.07172888
10.jpg,person,1,43,640,669,0.069617115
10.jpg,kite,0,39,496,545,0.06782141
10.jpg,person,1070,1083,631,648,0.06766771
10.jpg,person,889,915,619,683,0.06699383
10.jpg,person,1875,1885,657,668,0.06638751
10.jpg,surfboard,1083,1338,706,741,0.06525773
10.jpg,person,1311,1341,621,635,0.063433625
10.jpg,car,12,36,573,611,0.062641144
10.jpg,airplane,1739,1749,568,575,0.06206411
10.jpg,airplane,1590,1599,524,535,0.061329592
10.jpg,kite,4,372,568,676,0.06079861
10.jpg,bus,44,114,593,621,0.060157083
10.jpg,person,616,684,597,619,0.05691004
10.jpg,car,290,345,591,613,0.056836672
10.jpg,person,1361,1377,627,639,0.056484573
10.jpg,kite,800,986,678,695,0.056168053
10.jpg,airplane,293,310,316,327,0.05616105
10.jpg,kite,1171,1188,654,668,0.05586681
10.jpg,motorcycle,93,127,597,616,0.055860095
10.jpg,person,1725,1737,631,641,0.055213466
10.jpg,kite,588,598,608,618,0.05338252
10.jpg,kite,215,879,580,634,0.053177726
10.jpg,person,0,177,646,684,0.053076778
10.jpg,backpack,61,79,611,624,0.052499633
10.jpg,kite,1765,1778,616,624,0.051798478
10.jpg,backpack,811,829,587,636,0.05160225
10.jpg,bird,791,800,498,508,0.051587872
100.jpg,person,1388,1412,593,644,0.57541174
100.jpg,kite,1341,1352,361,371,0.5435744
100.jpg,kite,1481,1490,484,493,0.5371703
100.jpg,kite,889,923,606,629,0.48572573
100.jpg,kite,654,666,221,234,0.4809801
100.jpg,kite,1756,1765,343,352,0.45172644
100.jpg,kite,135,145,471,478,0.43571493
100.jpg,person,1280,1289,607,619,0.4333502
100.jpg,kite,365,372,559,566,0.38892376
100.jpg,kite,1208,1216,561,571,0.38671765
100.jpg,kite,645,654,375,383,0.37474445
100.jpg,kite,10,128,699,724,0.37313658
100.jpg,kite,1079,1089,499,509,0.347248
100.jpg,kite,1136,1146,501,513,0.3317704
100.jpg,kite,620,628,317,323,0.32601583
100.jpg,person,889,923,606,629,0.32550967
100.jpg,bird,1756,1765,343,352,0.3215957
100.jpg,kite,1069,1078,562,569,0.28051737
100.jpg,person,946,949,605,612,0.27430755
100.jpg,bird,1341,1352,361,371,0.27343094
100.jpg,kite,905,915,478,488,0.2632464
100.jpg,person,1190,1197,626,637,0.26251143
100.jpg,surfboard,889,923,606,629,0.25151685
100.jpg,kite,1004,1013,514,522,0.21461228
100.jpg,bird,1312,1333,759,776,0.20284215
100.jpg,horse,1389,1409,623,645,0.20219213
100.jpg,surfboard,1389,1409,623,645,0.19600621
100.jpg,bird,1278,1308,855,878,0.18308483
100.jpg,bird,1481,1490,484,493,0.18038636
100.jpg,person,201,211,606,620,0.17335571
100.jpg,person,1487,1493,598,608,0.17041172
100.jpg,bird,905,915,478,488,0.164092
100.jpg,bird,654,666,221,234,0.1494995
100.jpg,person,256,263,637,648,0.14581656
100.jpg,bird,1057,1088,759,779,0.13867947
100.jpg,bird,1139,1162,775,789,0.13327254
100.jpg,bird,1119,1142,701,716,0.13216305
100.jpg,bird,1352,1383,757,782,0.12859899
100.jpg,bird,1311,1344,731,750,0.12672122
100.jpg,bird,1457,1477,753,765,0.12623607
100.jpg,kite,1389,1409,623,645,0.12506859
100.jpg,kite,376,384,587,595,0.12076074
100.jpg,person,3,21,615,636,0.119678125
100.jpg,airplane,1756,1765,343,352,0.11563278
100.jpg,person,281,290,652,663,0.11449421
100.jpg,person,230,239,637,648,0.11390073
100.jpg,bird,135,145,471,478,0.11291424
100.jpg,dog,1389,1409,623,645,0.11125832
100.jpg,kite,3,1903,212,670,0.11079031
100.jpg,boat,889,923,606,629,0.10195274
100.jpg,bird,1905,1916,752,769,0.098812215
100.jpg,bird,645,654,375,383,0.096920416
100.jpg,bird,1219,1233,730,745,0.093942694
100.jpg,bird,1193,1219,703,720,0.09221378
100.jpg,bird,1179,1215,746,765,0.091893785
100.jpg,person,1832,1840,566,589,0.08989224
100.jpg,kite,665,670,541,545,0.08866794
100.jpg,person,277,285,607,618,0.087255456
100.jpg,bird,1183,1210,780,796,0.08473591
100.jpg,kite,9,29,710,724,0.08205444
100.jpg,person,79,91,604,612,0.08042218
100.jpg,person,321,328,605,616,0.07703795
100.jpg,bird,1420,1435,749,768,0.07269504
100.jpg,bird,1007,1027,711,718,0.07238869
100.jpg,kite,1460,1472,559,571,0.07158845
100.jpg,person,433,440,604,612,0.07140268
100.jpg,bird,953,969,751,760,0.07036218
100.jpg,person,1727,1734,574,588,0.069914505
100.jpg,person,591,597,607,618,0.06759929
100.jpg,bird,1279,1297,740,749,0.0669594
100.jpg,kite,1391,1404,589,605,0.06580475
100.jpg,surfboard,10,128,699,724,0.06498398
100.jpg,kite,1527,1545,537,548,0.06451473
100.jpg,person,1890,1910,531,543,0.06356319
100.jpg,airplane,1341,1352,361,371,0.063076906
100.jpg,bird,1027,1045,744,764,0.061981075
100.jpg,boat,2,78,618,636,0.06141008
100.jpg,bird,1079,1089,499,509,0.061011586
100.jpg,airplane,654,666,221,234,0.059063904
100.jpg,airplane,1481,1490,484,493,0.058321353
100.jpg,boat,1280,1289,607,619,0.058069266
100.jpg,umbrella,889,923,606,629,0.057384115
100.jpg,kite,1190,1197,626,637,0.05640455
100.jpg,person,376,384,587,595,0.05628269
100.jpg,bird,620,628,317,323,0.05627527
100.jpg,person,1685,1692,577,588,0.055106293
100.jpg,person,1864,1875,554,579,0.054512884
100.jpg,airplane,135,145,471,478,0.054344036
100.jpg,bird,1250,1263,790,804,0.054247353
100.jpg,kite,1487,1498,590,606,0.05374585
100.jpg,bird,1136,1146,501,513,0.053642202
100.jpg,kite,54,1580,222,632,0.052505612
100.jpg,bird,1000,1018,737,755,0.052323855
100.jpg,person,124,131,604,613,0.051949307
100.jpg,person,2,19,706,727,0.05193877
100.jpg,airplane,889,923,606,629,0.051580917
100.jpg,kite,2,78,618,636,0.05072622
100.jpg,airplane,1208,1216,561,571,0.05036132
100.jpg,bird,939,965,718,734,0.049961172
100.jpg,kite,608,639,318,382,0.049710352
11.jpg,car,392,564,575,640,0.6526611
11.jpg,person,1405,1436,586,685,0.62275666
11.jpg,handbag,1405,1436,586,685,0.19533376
11.jpg,car,13,54,605,629,0.14087507
11.jpg,person,456,497,563,587,0.13598862
11.jpg,train,786,1274,456,640,0.11377822
11.jpg,bench,1420,1468,634,671,0.11318652
11.jpg,bench,1090,1119,589,604,0.11075743
11.jpg,person,1102,1124,587,604,0.096391104
11.jpg,bench,1380,1431,610,661,0.09431341
11.jpg,car,1,17,577,629,0.09214373
11.jpg,bench,797,841,588,618,0.08448182
11.jpg,fire hydrant,1,17,577,629,0.07354572
11.jpg,person,1,17,577,629,0.07338066
11.jpg,truck,392,564,575,640,0.06691422
11.jpg,parking meter,1,17,577,629,0.06578888
11.jpg,person,1404,1427,577,600,0.060493227
11.jpg,person,938,955,586,603,0.055546504
11.jpg,bicycle,150,198,586,624,0.050687753
11.jpg,person,414,442,562,590,0.050287314
11.jpg,stop sign,1,20,480,586,0.049950514
11.jpg,train,899,1277,515,613,0.048474763
11.jpg,car,395,465,582,636,0.042673297
11.jpg,umbrella,410,553,511,577,0.039433498
11.jpg,car,602,649,581,614,0.03684498
11.jpg,parking meter,1,20,480,586,0.033247992
11.jpg,backpack,1405,1435,576,679,0.031899024
