filename,class,left,right,top,bottom,score
1.jpg,truck,1635,1912,535,688,0.51238745
1.jpg,traffic light,1265,1289,454,490,0.41600433
1.jpg,car,1635,1912,535,688,0.36910936
1.jpg,traffic light,1288,1311,340,367,0.3663857
1.jpg,truck,1165,1336,490,602,0.36497375
1.jpg,traffic light,1352,1371,406,443,0.33141628
1.jpg,traffic light,1117,1141,389,438,0.31641135
1.jpg,person,1362,1380,522,573,0.3132889
1.jpg,bus,1154,1323,471,598,0.30978405
1.jpg,traffic light,1200,1217,376,418,0.27624393
1.jpg,traffic light,1201,1214,412,443,0.26672605
1.jpg,person,1407,1428,518,577,0.26382136
1.jpg,car,1549,1585,545,586,0.23837939
1.jpg,traffic light,1809,1829,475,504,0.20729835
1.jpg,bus,1152,1199,489,550,0.18237971
1.jpg,traffic light,1425,1438,491,515,0.17709917
1.jpg,traffic light,1596,1626,413,450,0.16762128
1.jpg,truck,1152,1199,489,550,0.16294225
1.jpg,person,1668,1860,531,626,0.15700027
1.jpg,clock,1350,1369,399,431,0.1506655
1.jpg,car,1189,1318,549,599,0.15029247
1.jpg,car,1421,1442,541,580,0.1477213
1.jpg,person,1822,1851,529,567,0.14441814
1.jpg,truck,1549,1585,545,586,0.14255318
1.jpg,person,1878,1911,516,578,0.13858975
1.jpg,car,1349,1367,538,578,0.12565592
1.jpg,traffic light,1367,1378,494,514,0.12518787
1.jpg,car,1152,1199,489,550,0.11838831
1.jpg,car,1862,1904,534,586,0.1164972
1.jpg,train,1151,1178,495,545,0.114827015
1.jpg,truck,1545,1827,444,588,0.112270355
1.jpg,person,1260,1283,458,488,0.10815445
1.jpg,train,1154,1323,471,598,0.10773343
1.jpg,traffic light,1661,1745,400,452,0.106006935
1.jpg,person,1151,1176,501,555,0.10415145
1.jpg,clock,1288,1311,340,367,0.10255839
1.jpg,clock,1110,1132,406,447,0.09634972
1.jpg,stop sign,1110,1132,406,447,0.094509766
1.jpg,bench,1547,1588,557,588,0.0902872
1.jpg,stop sign,1423,1438,500,538,0.089361995
1.jpg,person,584,604,279,314,0.08556325
1.jpg,car,881,903,486,515,0.08423974
1.jpg,bench,1208,1322,551,599,0.08247248
1.jpg,person,1172,1386,482,582,0.07935736
1.jpg,bird,1288,1311,340,367,0.0792472
1.jpg,stop sign,1260,1283,458,488,0.07909481
1.jpg,traffic light,1870,1900,344,386,0.078951575
1.jpg,person,994,1024,518,608,0.078342006
1.jpg,stop sign,1365,1379,517,551,0.07739838
1.jpg,bench,1420,1444,561,584,0.07609436
1.jpg,car,1877,1920,539,676,0.0743823
1.jpg,car,1880,1915,601,702,0.07411552
1.jpg,truck,1861,1904,520,575,0.07409439
1.jpg,chair,680,721,288,326,0.072937705
1.jpg,car,926,948,488,513,0.071439125
1.jpg,traffic light,1883,1909,470,507,0.07020404
1.jpg,truck,1362,1380,522,573,0.06952635
1.jpg,traffic light,1151,1178,495,545,0.068685815
1.jpg,bird,442,463,146,174,0.06776334
1.jpg,parking meter,1408,1427,505,562,0.06625334
1.jpg,fire hydrant,1420,1444,561,584,0.066201515
1.jpg,bench,1274,1318,558,593,0.06489657
1.jpg,bottle,584,604,279,314,0.06114332
1.jpg,parking meter,1362,1380,522,573,0.059302755
1.jpg,stop sign,1809,1829,475,504,0.057638627
1.jpg,truck,1420,1441,515,580,0.057037458
1.jpg,sports ball,1206,1229,904,920,0.05698711
1.jpg,stop sign,1350,1369,399,431,0.05675349
1.jpg,clock,1204,1218,367,399,0.05552604
1.jpg,bench,1378,1396,538,579,0.054391075
1.jpg,traffic light,1032,1051,427,461,0.0540051
1.jpg,car,680,721,288,326,0.053010095
1.jpg,stop sign,1288,1311,340,367,0.052949186
1.jpg,backpack,1365,1379,517,551,0.051901117
1.jpg,clock,1661,1745,400,452,0.051889647
1.jpg,bus,1420,1441,499,567,0.051841293
1.jpg,car,1229,1247,474,498,0.05099793
1.jpg,bird,1350,1369,399,431,0.05037082
1.jpg,traffic light,1560,1576,456,489,0.049438044
1.jpg,bus,1260,1283,458,488,0.049390994
1.jpg,umbrella,1898,1920,479,526,0.048274748
1.jpg,clock,1596,1626,413,450,0.04737889
1.jpg,stop sign,1881,1909,484,522,0.047161527
1.jpg,potted plant,365,396,269,316,0.046500906
1.jpg,stop sign,1204,1218,367,399,0.046402507
1.jpg,stop sign,1885,1909,457,489,0.046283714
1.jpg,clock,365,396,269,316,0.045982197
1.jpg,person,1549,1585,545,586,0.045844756
1.jpg,stop sign,1152,1199,489,550,0.045267753
1.jpg,backpack,1408,1427,505,562,0.04500436
1.jpg,bicycle,1408,1428,540,579,0.044173457
1.jpg,truck,1260,1283,458,488,0.04362019
1.jpg,bus,1866,1901,508,557,0.043176785
1.jpg,person,1187,1227,537,585,0.042446494
1.jpg,bus,1545,1827,444,588,0.042384703
1.jpg,train,1260,1283,458,488,0.042069152
1.jpg,bench,680,721,288,326,0.041192003
1.jpg,bird,584,604,279,314,0.04030193
1.jpg,traffic light,971,992,436,481,0.040225737
1.jpg,bicycle,1378,1396,538,579,0.040054344
2.jpg,traffic light,1343,1434,2,136,0.5757402
2.jpg,traffic light,1166,1188,489,521,0.5480072
2.jpg,traffic light,1232,1265,210,285,0.4990048
2.jpg,traffic light,1169,1191,402,449,0.4622397
2.jpg,traffic light,1178,1199,67,102,0.41650635
2.jpg,car,1186,1225,575,603,0.34216118
2.jpg,traffic light,1067,1076,506,526,0.22708815
2.jpg,traffic light,1243,1262,493,517,0.21925834
2.jpg,stop sign,856,872,516,547,0.18784611
2.jpg,traffic light,856,872,516,547,0.18316732
2.jpg,car,1511,1589,528,566,0.16399857
2.jpg,traffic light,1126,1138,504,524,0.16277197
2.jpg,car,902,943,576,604,0.15673846
2.jpg,traffic light,794,843,199,287,0.14863883
2.jpg,clock,857,873,507,535,0.14812008
2.jpg,traffic light,1401,1431,507,530,0.1323554
2.jpg,car,1324,1363,559,595,0.1312072
2.jpg,traffic light,990,1002,506,526,0.110985555
2.jpg,truck,1511,1589,528,566,0.10861993
2.jpg,car,1387,1443,531,560,0.10479037
2.jpg,traffic light,1261,1279,362,402,0.103517674
2.jpg,traffic light,1419,1445,5,41,0.10123669
2.jpg,clock,1166,1188,489,521,0.10066396
2.jpg,traffic light,1346,1368,521,544,0.09823736
2.jpg,traffic light,1389,1417,410,443,0.09705909
2.jpg,car,1603,1647,523,569,0.092207536
2.jpg,traffic light,1519,1558,424,460,0.09111074
2.jpg,truck,1186,1225,575,603,0.089219585
2.jpg,person,834,860,585,657,0.08581157
2.jpg,stop sign,1343,1434,2,136,0.07741742
2.jpg,clock,794,843,199,287,0.076844946
2.jpg,truck,902,944,567,594,0.07392072
2.jpg,potted plant,834,860,585,657,0.072156526
2.jpg,clock,1527,1573,423,461,0.06995297
2.jpg,bench,916,953,576,602,0.06987718
2.jpg,fire hydrant,1175,1211,576,603,0.06974894
2.jpg,traffic light,1506,1572,518,553,0.06972184
2.jpg,parking meter,847,875,570,645,0.06970979
2.jpg,parking meter,817,848,561,657,0.06815262
2.jpg,clock,1176,1198,402,448,0.06732337
2.jpg,car,985,1007,568,591,0.0672805
2.jpg,stop sign,792,844,190,282,0.06586744
2.jpg,stop sign,1166,1188,489,521,0.063571475
2.jpg,clock,1256,1275,492,517,0.06268144
