filename,class,left,right,top,bottom,score
1.jpg,truck,1635,1912,535,688,0.51238745
1.jpg,traffic light,1265,1289,454,490,0.41600433
1.jpg,car,1635,1912,535,688,0.36910936
1.jpg,traffic light,1288,1311,340,367,0.3663857
1.jpg,truck,1165,1336,490,602,0.36497375
1.jpg,traffic light,1352,1371,406,443,0.33141628
1.jpg,traffic light,1117,1141,389,438,0.31641135
1.jpg,person,1362,1380,522,573,0.3132889
1.jpg,bus,1154,1323,471,598,0.30978405
1.jpg,traffic light,1200,1217,376,418,0.27624393
1.jpg,traffic light,1201,1214,412,443,0.26672605
1.jpg,person,1407,1428,518,577,0.26382136
1.jpg,car,1549,1585,545,586,0.23837939
1.jpg,traffic light,1809,1829,475,504,0.20729835
1.jpg,bus,1152,1199,489,550,0.18237971
1.jpg,traffic light,1425,1438,491,515,0.17709917
1.jpg,traffic light,1596,1626,413,450,0.16762128
1.jpg,truck,1152,1199,489,550,0.16294225
1.jpg,person,1668,1860,531,626,0.15700027
1.jpg,clock,1350,1369,399,431,0.1506655
1.jpg,car,1189,1318,549,599,0.15029247
1.jpg,car,1421,1442,541,580,0.1477213
1.jpg,person,1822,1851,529,567,0.14441814
1.jpg,truck,1549,1585,545,586,0.14255318
1.jpg,person,1878,1911,516,578,0.13858975
1.jpg,car,1349,1367,538,578,0.12565592
1.jpg,traffic light,1367,1378,494,514,0.12518787
1.jpg,car,1152,1199,489,550,0.11838831
1.jpg,car,1862,1904,534,586,0.1164972
1.jpg,train,1151,1178,495,545,0.114827015
1.jpg,truck,1545,1827,444,588,0.112270355
1.jpg,person,1260,1283,458,488,0.10815445
1.jpg,train,1154,1323,471,598,0.10773343
1.jpg,traffic light,1661,1745,400,452,0.106006935
1.jpg,person,1151,1176,501,555,0.10415145
1.jpg,clock,1288,1311,340,367,0.10255839
1.jpg,clock,1110,1132,406,447,0.09634972
1.jpg,stop sign,1110,1132,406,447,0.094509766
1.jpg,bench,1547,1588,557,588,0.0902872
1.jpg,stop sign,1423,1438,500,538,0.089361995
1.jpg,person,584,604,279,314,0.08556325
1.jpg,car,881,903,486,515,0.08423974
1.jpg,bench,1208,1322,551,599,0.08247248
1.jpg,person,1172,1386,482,582,0.07935736
1.jpg,bird,1288,1311,340,367,0.0792472
1.jpg,stop sign,1260,1283,458,488,0.07909481
1.jpg,traffic light,1870,1900,344,386,0.078951575
1.jpg,person,994,1024,518,608,0.078342006
1.jpg,stop sign,1365,1379,517,551,0.07739838
1.jpg,bench,1420,1444,561,584,0.07609436
1.jpg,car,1877,1920,539,676,0.0743823
1.jpg,car,1880,1915,601,702,0.07411552
1.jpg,truck,1861,1904,520,575,0.07409439
1.jpg,chair,680,721,288,326,0.072937705
1.jpg,car,926,948,488,513,0.071439125
1.jpg,traffic light,1883,1909,470,507,0.07020404
1.jpg,truck,1362,1380,522,573,0.06952635
1.jpg,traffic light,1151,1178,495,545,0.068685815
1.jpg,bird,442,463,146,174,0.06776334
1.jpg,parking meter,1408,1427,505,562,0.06625334
1.jpg,fire hydrant,1420,1444,561,584,0.066201515
1.jpg,bench,1274,1318,558,593,0.06489657
1.jpg,bottle,584,604,279,314,0.06114332
1.jpg,parking meter,1362,1380,522,573,0.059302755
1.jpg,stop sign,1809,1829,475,504,0.057638627
1.jpg,truck,1420,1441,515,580,0.057037458
1.jpg,sports ball,1206,1229,904,920,0.05698711
1.jpg,stop sign,1350,1369,399,431,0.05675349
1.jpg,clock,1204,1218,367,399,0.05552604
1.jpg,bench,1378,1396,538,579,0.054391075
1.jpg,traffic light,1032,1051,427,461,0.0540051
1.jpg,car,680,721,288,326,0.053010095
1.jpg,stop sign,1288,1311,340,367,0.052949186
1.jpg,backpack,1365,1379,517,551,0.051901117
1.jpg,clock,1661,1745,400,452,0.051889647
1.jpg,bus,1420,1441,499,567,0.051841293
1.jpg,car,1229,1247,474,498,0.05099793
1.jpg,bird,1350,1369,399,431,0.05037082
1.jpg,traffic light,1560,1576,456,489,0.049438044
1.jpg,bus,1260,1283,458,488,0.049390994
1.jpg,umbrella,1898,1920,479,526,0.048274748
1.jpg,clock,1596,1626,413,450,0.04737889
1.jpg,stop sign,1881,1909,484,522,0.047161527
1.jpg,potted plant,365,396,269,316,0.046500906
1.jpg,stop sign,1204,1218,367,399,0.046402507
1.jpg,stop sign,1885,1909,457,489,0.046283714
1.jpg,clock,365,396,269,316,0.045982197
1.jpg,person,1549,1585,545,586,0.045844756
1.jpg,stop sign,1152,1199,489,550,0.045267753
1.jpg,backpack,1408,1427,505,562,0.04500436
1.jpg,bicycle,1408,1428,540,579,0.044173457
1.jpg,truck,1260,1283,458,488,0.04362019
1.jpg,bus,1866,1901,508,557,0.043176785
1.jpg,person,1187,1227,537,585,0.042446494
1.jpg,bus,1545,1827,444,588,0.042384703
1.jpg,train,1260,1283,458,488,0.042069152
1.jpg,bench,680,721,288,326,0.041192003
1.jpg,bird,584,604,279,314,0.04030193
1.jpg,traffic light,971,992,436,481,0.040225737
1.jpg,bicycle,1378,1396,538,579,0.040054344
10.jpg,person,812,831,605,642,0.53588456
10.jpg,kite,788,796,498,505,0.50726783
10.jpg,person,1170,1192,629,677,0.4914338
10.jpg,kite,1037,1052,181,192,0.48991495
10.jpg,kite,882,964,571,618,0.45899594
10.jpg,kite,332,346,507,521,0.41499886
10.jpg,kite,1700,1716,198,213,0.37524727
10.jpg,kite,1682,1690,126,134,0.37371972
10.jpg,person,750,760,610,629,0.36845833
10.jpg,bird,290,306,316,326,0.3669999
10.jpg,person,353,386,603,632,0.35508516
10.jpg,kite,353,386,603,632,0.35396087
10.jpg,bird,1755,1772,346,360,0.33968398
10.jpg,kite,1587,1602,522,538,0.33491072
10.jpg,bird,1682,1690,126,134,0.32708597
10.jpg,bird,1587,1602,522,538,0.31989783
10.jpg,kite,291,310,317,327,0.3196322
10.jpg,bird,1037,1052,181,192,0.31579295
10.jpg,bird,1729,1743,559,566,0.30386847
10.jpg,person,69,95,596,618,0.2837046
10.jpg,kite,12,180,662,695,0.27391762
10.jpg,person,22,51,590,620,0.27158436
10.jpg,kite,1886,1902,540,560,0.26064953
10.jpg,person,298,317,608,627,0.24303378
10.jpg,bird,1886,1902,540,560,0.23710679
10.jpg,person,893,918,617,654,0.23040853
10.jpg,airplane,1682,1690,126,134,0.21617429
10.jpg,kite,1755,1772,346,360,0.21130356
10.jpg,bird,1700,1716,198,213,0.20551881
10.jpg,kite,298,317,608,627,0.19770493
10.jpg,kite,22,51,590,620,0.19413464
10.jpg,kite,818,837,604,642,0.19021164
10.jpg,kite,1729,1743,559,566,0.1849621
10.jpg,car,52,83,593,619,0.1841399
10.jpg,person,1319,1332,626,640,0.17902933
10.jpg,person,1126,1135,626,643,0.17073606
10.jpg,kite,1137,1337,710,750,0.16838448
10.jpg,umbrella,353,385,600,625,0.16708046
10.jpg,person,1246,1260,617,632,0.16465667
10.jpg,surfboard,12,180,662,695,0.15142737
10.jpg,person,1471,1482,618,628,0.15030876
10.jpg,airplane,52,83,593,619,0.14812197
10.jpg,airplane,290,306,316,326,0.14532092
10.jpg,airplane,1037,1052,181,192,0.13626043
10.jpg,boat,52,83,593,619,0.13502914
10.jpg,boat,10,38,586,625,0.13450511
10.jpg,boat,353,386,603,632,0.12480053
