filename,class,left,right,top,bottom,score
1.jpg,truck,1626,1920,540,688,0.50268245
1.jpg,car,1625,1919,542,688,0.39095417
1.jpg,truck,1186,1323,549,599,0.33794424
1.jpg,truck,1531,1917,462,680,0.27183697
1.jpg,truck,1535,1841,448,595,0.266639
1.jpg,bench,867,942,571,670,0.23190793
1.jpg,bench,1186,1325,552,599,0.22756945
1.jpg,car,1186,1325,552,599,0.21952538
1.jpg,truck,1186,1326,500,596,0.18910673
1.jpg,bench,874,961,528,662,0.17803776
1.jpg,train,1186,1323,549,599,0.15635611
1.jpg,truck,1564,1906,481,626,0.14983268
1.jpg,truck,1373,1920,428,686,0.14517714
1.jpg,train,1142,1247,471,564,0.14340895
1.jpg,potted plant,1274,1387,450,540,0.13962322
1.jpg,bench,877,981,517,606,0.1357931
1.jpg,bench,879,973,559,603,0.1225527
1.jpg,bench,876,959,573,623,0.12123284
1.jpg,train,1168,1320,475,589,0.119893946
1.jpg,train,0,818,185,1077,0.117633276
1.jpg,bus,1142,1247,471,564,0.11736558
1.jpg,truck,1158,1306,470,585,0.1161973
1.jpg,cow,1186,1325,552,599,0.114266396
1.jpg,bench,867,939,570,606,0.11412693
1.jpg,truck,1146,1259,471,567,0.11206496
1.jpg,bench,884,950,563,656,0.11110605
1.jpg,clock,380,418,135,232,0.11074132
1.jpg,train,881,982,516,594,0.110317536
1.jpg,stop sign,1152,1231,474,523,0.1087222
1.jpg,traffic light,1269,1288,450,479,0.10577224
1.jpg,bench,901,981,542,595,0.10520026
1.jpg,bench,909,978,567,604,0.10326077
1.jpg,person,1761,1791,557,591,0.10171797
1.jpg,truck,1482,1920,510,715,0.10111445
1.jpg,potted plant,1272,1442,461,563,0.099621885
1.jpg,truck,1501,1899,377,612,0.09880987
1.jpg,potted plant,1668,1782,377,455,0.09740689
1.jpg,car,1880,1919,531,629,0.09683013
1.jpg,bench,859,974,532,631,0.095249094
1.jpg,potted plant,1278,1438,417,546,0.09456365
1.jpg,bench,867,935,559,641,0.093309514
1.jpg,bench,820,936,584,676,0.09224939
1.jpg,bench,885,965,542,623,0.08852067
1.jpg,train,1165,1431,467,586,0.088142395
1.jpg,traffic light,1152,1231,474,523,0.08799508
1.jpg,car,1866,1917,529,598,0.087366015
1.jpg,teddy bear,706,986,963,1076,0.086512946
1.jpg,clock,131,296,8,313,0.085636854
1.jpg,train,458,818,345,849,0.08526901
1.jpg,bus,1158,1306,470,585,0.0848159
1.jpg,car,1855,1920,526,642,0.08338336
1.jpg,bus,1186,1325,552,599,0.08333889
1.jpg,train,1223,1911,418,653,0.08295915
1.jpg,car,1831,1917,536,688,0.08275131
1.jpg,bench,870,936,537,618,0.08241826
1.jpg,person,1775,1813,555,591,0.08218993
1.jpg,bench,872,939,552,597,0.08209675
1.jpg,train,365,879,299,785,0.08173219
1.jpg,person,1727,1764,559,589,0.08161052
1.jpg,truck,1621,1880,576,677,0.080935314
1.jpg,train,1491,1838,455,589,0.080438055
1.jpg,bench,877,981,564,667,0.080391355
1.jpg,bench,915,976,577,614,0.0798595
1.jpg,bus,1596,1917,498,692,0.0796076
1.jpg,potted plant,1383,1428,508,579,0.07700208
1.jpg,potted plant,1351,1449,477,572,0.076534346
1.jpg,bench,858,928,576,625,0.07645353
1.jpg,truck,1866,1917,529,598,0.0757722
1.jpg,traffic light,1147,1197,479,519,0.07508352
1.jpg,truck,1222,1324,546,589,0.07488958
1.jpg,truck,880,981,515,593,0.07392622
1.jpg,clock,372,433,130,258,0.07351141
1.jpg,bench,855,927,583,673,0.07348551
1.jpg,potted plant,894,1121,159,668,0.07305069
1.jpg,car,1891,1917,528,659,0.07279117
1.jpg,truck,1676,1920,440,698,0.07263253
1.jpg,potted plant,1371,1436,496,566,0.072333574
1.jpg,traffic light,1265,1287,465,489,0.07232901
1.jpg,potted plant,1277,1368,458,526,0.071868725
1.jpg,person,1696,1745,559,589,0.071667686
1.jpg,bus,1535,1841,448,595,0.07165302
1.jpg,car,1883,1918,518,588,0.071606666
1.jpg,train,1143,1231,474,528,0.07139735
1.jpg,truck,1389,1834,459,587,0.07062028
1.jpg,traffic light,1177,1234,474,516,0.07044263
1.jpg,traffic light,1254,1272,456,481,0.069779776
1.jpg,train,1166,1341,511,595,0.06910445
1.jpg,traffic light,1085,1103,459,484,0.06882527
1.jpg,clock,283,466,0,309,0.068456426
1.jpg,truck,1292,1920,357,602,0.06786375
1.jpg,suitcase,1186,1325,552,599,0.06775315
1.jpg,potted plant,973,1020,555,629,0.067429535
1.jpg,bench,858,948,540,679,0.06728797
1.jpg,stop sign,1143,1199,480,524,0.06728156
1.jpg,bench,860,1034,569,630,0.067192145
1.jpg,train,418,720,376,939,0.06705399
1.jpg,potted plant,1371,1404,516,575,0.06683266
1.jpg,truck,1203,1329,532,607,0.06634116
1.jpg,person,1078,1095,532,549,0.06633571
